RFd95p_5920012,RHd10p_GK48617,RHd90p_GK48617,TXd90p_GK48617,RFd95p_6022001,TNd90p_GK48617,TNd10p_GK48617,TNd10p_KB48615,RHd90p_KB48615,RFd95p_KB48615,RFd95p_6022062,TNd90p_KB48615,RFd95p_6121001,RHd10p_KB48615,RFd95p_6122064,RFd95p_6121067,RFd95p_6023001,RFd95p_6021010,TXd90p_KB48615,RFd95p_6021013,RFd95p_6121015,TXd10p_KB48615,RFd95p_5922001,Cases
0,0,0.428571429,0,0.2,0,0,0.285714286,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.6,Low
0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.6,0,0.285714286,0,0,0.4,Low
0,0,0,0,0.2,0,0,0,0,0.2,0.142857143,0,0.166666667,0,0.5,0.333333333,0,0,0,0,0,0,0.2,Low
0,0,0.142857143,0,0,0,0.142857143,0,0,0,0,0,0,0,0.333333333,0.166666667,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0.2,0,0,0.166666667,0,0,0.166666667,0,0,0,0.142857143,0,0,0.2,Low
0,0,0,0,0,0,0,0,0,0.2,0,0,0.166666667,0.142857143,0.166666667,0,0.2,0,0,0,0.2,0,0.2,High
0,0,0,0.142857143,0,0,0,0,0,0,0.142857143,0,0.166666667,0,0,0,0,0.2,0,0,0,0,0,High
0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,Low
0,0.142857143,0,0,0,0,0.285714286,0.142857143,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.2,0,0,Low
0,0,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0.2,0,0,0.142857143,0.2,0,0,Low
0,0,0,0,0.2,0,0.142857143,0.142857143,0,0.2,0,0,0,0,0,0.166666667,0,0,0,0.142857143,0.2,0,0,Low
0,0,0,0,0.2,0,0,0,0,0,0,0.142857143,0.333333333,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0.2,0,0,0,0,0,0,0.428571429,0.5,0,0,0,0,0.2,0,0,0,0.285714286,0,High
0,0,0,0,0,0,0,0,0,0,0.285714286,0,0.166666667,0,0,0,0.4,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0.4,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.333333333,0,0,0,0.2,0,0,0,0,0.142857143,0,Low
0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.666666667,0.428571429,0,0,0,0,0,0,0.2,0,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0.666666667,0,0,0,0.4,0,0,0,0.2,0,0,Low
0,0,0,0,0.2,0,0,0,0,0,0.428571429,0.285714286,0.333333333,0,0,0,0.8,0.2,0,0,0,0.142857143,0,Low
0,0,0,0,0,0,0,0,0,0,0.428571429,0.142857143,0,0,0,0,0.8,0,0,0,0,0.571428571,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0.142857143,0,0.166666667,0.142857143,0,0,0.2,0,0,0,0,0.142857143,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0.2,0,0,0,0,0,Low
0,0.571428571,0,0,0.2,0,0,0,0.142857143,0,0.142857143,0,0.166666667,0,0,0.333333333,0.2,0,0,0.142857143,0,0.142857143,0,Low
0,0.285714286,0,0.142857143,0.2,0.142857143,0.142857143,0.142857143,0,0,0,0.142857143,0,0.428571429,0,0.333333333,0,0,0,0.142857143,0,0.428571429,0,High
0,0.571428571,0,0.285714286,0.8,0,0,0,0.142857143,0.2,0.142857143,0,0,0.428571429,0,0.166666667,0,0,0.285714286,0,0,0.428571429,0,Low
0.5,0.428571429,0,0.142857143,0.2,0,0,0,0.142857143,0.2,0,0,0,0.142857143,0,0.166666667,0,0.8,0.285714286,0.571428571,0,0.428571429,0,High
0,0.142857143,0,0,0,0.428571429,0,0,0.571428571,0.8,0,0.571428571,0,1,0.166666667,0.666666667,0,0,0.857142857,0.285714286,0,0,0,Low
0,0.285714286,0,0.428571429,0,0.428571429,0,0,0.142857143,0,0,0.428571429,0,0.428571429,0,0,0,0,0.428571429,0,0,0.285714286,0,High
0.166666667,0.571428571,0,1,0,0.714285714,0.285714286,0.285714286,0,0,0,0.428571429,0,0.142857143,0.333333333,0,0,0.2,1,0,0,0.142857143,0,Low
0,1,0,0.571428571,0,0.714285714,0,0,0.142857143,0,0,0.714285714,0,0.285714286,0.166666667,0,0,0,0.714285714,0,0,0.142857143,0,Low
0,0.857142857,0,1,0,0.285714286,0.142857143,0.428571429,0,0,0,0.142857143,0,0.714285714,0,0,0,0,1,0,0,0,0.2,Low
0,1,0,1,0,0.428571429,0.428571429,0.571428571,0.714285714,0,0,0.285714286,0,0.571428571,0,0,0,0,1,0,0,0,0,Low
0,0.285714286,0,0.714285714,0,0.714285714,0.142857143,0.142857143,0.142857143,0,0,0.285714286,0,0.428571429,0,0,0,0,0.714285714,0,0,0,0,Low
0,0.857142857,0,0.285714286,0,0.142857143,0.571428571,0.571428571,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,Low
0,0,0,0.285714286,0,0.285714286,0.428571429,0.714285714,0,0,0,0.142857143,0,0,0,0,0,0,0.285714286,0,0,0,0,Low
0,0.285714286,0,0.428571429,0,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0.428571429,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.2,0.571428571,0.142857143,0,0,0,Low
0,0.142857143,0,0,0,0.428571429,0,0,0,0.2,0,0.285714286,0,0,0,0,0,0,0.142857143,0,0,0,0,Low
0,0.142857143,0,0.285714286,0,0,0,0,0.142857143,0,0,0,0,0,0.166666667,0,0,0,0.142857143,0,0,0,0,Low
0,0,0,0,0,0.142857143,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0.285714286,0.142857143,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0.285714286,0,0,0,0,Low
0,0.142857143,0,0.142857143,0,0.714285714,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0.142857143,0,0,0,0,Low
0,0.142857143,0,0,0,0.285714286,0,0,0,0,0.142857143,0.285714286,0.333333333,0,0.166666667,0,0.2,0,0.285714286,0,0,0,0,Low
0,0.428571429,0,0.571428571,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0.2,0,0.571428571,0,0,0,0,Low
0,0.428571429,0.142857143,0.285714286,0,0.142857143,0,0,0,0,0.285714286,0,0,0.428571429,0,0,0.6,0,0.428571429,0,0,0,0,Low
0,0.285714286,0.857142857,0,0,0,0,0,0,0,0.142857143,0,0.333333333,0,0,0,0,0,0.285714286,0,0,0,0,Low
0,0.142857143,0.142857143,0.142857143,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.142857143,0,0,0,Low
0,0.142857143,0,0.285714286,0,0,0,0,0,0,0,0,0,0.142857143,0,0.166666667,0,0,0.285714286,0.142857143,0,0,0,Low
0,0.142857143,0.285714286,0.285714286,0,0,0,0,0,0.2,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,Low
0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,Low
0,0,0,0,0.2,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
0.166666667,0,0,0,0.4,0,0,0,0,0,0.142857143,0,0.166666667,0,0.666666667,0,0,0,0,0,0,0,0,Low
0,0,0,0,0.2,0,0,0,0.285714286,0,0,0,0,0,0.166666667,0,0,0,0,0.142857143,0,0,0,Low
0,0,0,0,0,0,0,0,0.714285714,0.2,0,0,0,0,0,0.166666667,0,0,0,0,0.6,0,0,Low
0.166666667,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0.4,0,0.142857143,0.2,0,0,Low
0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.166666667,0,0,0,0.142857143,0,0,0,Low
0,0,0.142857143,0,0,0,0.142857143,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0.142857143,0.285714286,0,0,0.142857143,0,0,0,0,0,0.2,0.2,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,Low
0,0,0,0,0,0,0,0.142857143,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0.142857143,0,0.142857143,0,0,0.142857143,0.285714286,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0.2,0.142857143,0.285714286,0,0.714285714,0,0,0,0,0,0,0,0,0.2,Low
0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0.2,0,0,0,0.2,0,0,Low
0,0,0,0,0,0.142857143,0,0,0,0,0.285714286,0.571428571,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.285714286,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.166666667,0.142857143,0,0,0,0,0,0,0,0,0,Low
0,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,0,Low
0,0,0.142857143,0,0,0,0,0,0,0.2,0.142857143,0,0.666666667,0,0,0,0.2,0,0,0,0,0.142857143,0,Low
0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,Low
0,0.142857143,0,0,0,0,0,0,0,0,0.571428571,0.285714286,0,0.285714286,0,0,0.6,0,0,0,0,0.142857143,0,Low
0,0,0,0,0,0.285714286,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0,0.142857143,0,0,0.2,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,Low
0,0,0,0,0,0.142857143,0.142857143,0,0,0.2,0,0.142857143,0,0.714285714,0.333333333,0,0,0,0,0,0,0.142857143,0.2,Low
0,0,0,0,0,0,0,0.142857143,0.285714286,0,0,0.285714286,0,0.142857143,0.166666667,0,0,0,0,0,0,0,0,Low
